TITLE,YEAR
Inside Out 2,2024
Elio,2024
Wish,2023
Elemental,2023
Strange World,2022
Lightyear,2022
The Bob's Burger Movie,2022
Encanto,2021
Ron's Gone Wrong,2021
Raya and the Last Dragon,2021
Onward,2020
Spies in Disguise,2019
The Incredibles 2,2019
Frozen 2,2019
Tangled: Before Ever After,2018
Toy Story 4,2018
Gigantic,2018
Wreck-It Ralph 2: Ralph Breaks the Internet,2018
Cars 3,2017
Coco,2017
Finding Dory,2016
Zootopia,2016
Moana,2016
Strange Magic,2015
Tinkerbell and the Legend of the Neverbeast,2015
Inside Out,2015
The Good Dinosaur,2015
The Wind Rises,2014
Tinker Bell and the Pirate Fairy,2014
Planes: Fire & Rescue,2014
Big Hero 6,2014
Frozen,2013
Planes,2013
Monsters University,2013
Tinker Bell and the Secret of the Wings,2012
Sofia the First: Once Upon a Princess,2012
The Secret World of Arrietty,2012
Frankenweenie,2012
Wreck-It Ralph,2012
Brave,2012
Winnie the Pooh,2011
Cars 2,2011
Phineas & Ferb the Movie: Across the 2nd Dimension,2011
Gnomeo & Juliet,2011
Mars Needs Moms,2011
Tales from Earthsea,2010
Toy Story 3,2010
Tangled,2010
Tinker Bell and the Great Fairy Rescue,2010
Up,2009
The Princess and the Frog,2009
Tinker Bell and the Lost Treasure,2009
Ponyo,2009
Tigger & Pooh and a Musical Too,2009
G-Force,2009
A Christmas Carol,2009
Little Mermaid: Ariel's Beginning,2008
Tinker Bell,2008
Bolt,2008
Wall-E,2008
Cinderella III: A Twist in Time,2007
Meet the Robinsons,2007
Ratatouille,2007
My Friends Tigger and Pooh: Super Sleuth Christmas,2007
The Secret of the Magic Gourd,2007
Brother Bear 2,2006
The Fox and the Hound 2,2006
Bambi II,2006
The Wild,2006
Cars,2006
Valiant,2005
The Proud Family Movie,2005
Kronk's New Groove,2005
Lilo & Stitch 2: Stich Has a Glitch,2005
Pooh's Heffalump Movie,2005
Pooh's Heffalump Halloween Movie,2005
Chicken Little,2005
The Incredibles,2004
Mickey's Twice Upon a Christmas,2004
The Lion King 1 1/2,2004
Howl's Moving Castle,2004
Mulan II,2004
"Mickey, Donald, Goofy: The Three Musketeers",2004
Winnie the Pooh: Springtime with Roo,2004
Teacher's Pet,2004
Home on the Range,2004
Finding Nemo,2003
Piglet's Big Movie,2003
The Jungle Book 2,2003
Atlantis: Milo's Return,2003
Brother Bear,2003
Kim Possible: A Sitch in Time,2003
101 Dalmatians 2: Patch's London Adventure,2003
Return to Never Land,2002
Cinderella II: Dreams Come True,2002
Lilo & Stitch,2002
Treasure Planet,2002
Winnie the Pooh: A Very Merry Pooh Year,2002
Atlantis: The Lost Empire,2001
"Monsters, Inc",2001
Lady and the Tramp II: Scamp's Adventure,2001
Spirited Away,2001
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001
Recess: School's Out,2001
An Extremely Goofy Movie,2000
Dinosaur,2000
The Little Mermaid II: Return to the Sea,2000
The Emperor's New Groove,2000
The Tigger Movie,2000
Toy Story 2,1999
Fantasia 2000,1999
Mickey's Once Upon a Christmas,1999
Tarzan,1999
Doug's 1st Movie,1999
Mulan,1998
Pocahontas II: Journey to a New World,1998
A Bugs Life,1998
The Lion King 2: Simbas Pride,1998
Hercules,1997
Beauty and the Beast: The Enchanted Christmas,1997
The Hunchback of Notre Dame,1996
James and the Giant Peach,1996
Toy Story,1995
A Goofy Movie,1995
Pocahontas,1995
The Lion King,1994
The Nightmare Before Christmas,1993
Aladdin,1992
Beauty and the Beast,1991
The Rescuers Down Under,1990
DuckTales: The Movie - Treasure of the Lost Lamp,1990
The Little Mermaid,1989
Oliver & Company,1988
The Brave Little Toaster,1987
The Great Mouse Detective,1986
The Black Cauldron,1985
Where the Toys Come From,1983
The Fox and the Hound,1981
The Rescuers,1977
The Many Adventures of Winnie the Pooh,1977
Pete's Dragon,1977
The Aristocats,1970
The Jungle Book,1967
The Sword in the Stone,1963
101 Dalmatians (Animated),1961
Sleeping Beauty,1959
Lady and the Tramp,1955
Peter Pan,1953
Alice in Wonderland,1951
Cinderella,1950
The Adventures of Ichabod and Mr. Toad,1949
So Dear to My Heart,1948
Melody Time,1948
Fun & Fancy Free,1947
Make Mine Music,1946
Song of the South,1946
The Three Caballeros,1944
Saludos Amigos,1943
Victory Through Air Power,1943
Bambi,1942
The Reluctant Dragon,1941
Dumbo,1941
Pinocchio,1940
Fantasia,1940
Snow White and the Seven Dwarfs,1937
